date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:45:34	6503/6503	---M--	200	added ('OK')	application/javascript	date:Thu,%2013%20Aug%202020%2010:09:28%20GMT	http://barlows.co.nz/js/app/services/gateway.service.js	D:/My%20Web%20Sites/barlows.co.nz/barlows.co.nz/js/app/services/gateway.service.js	(from http://barlows.co.nz/)
23:45:34	6592/6592	---M--	200	added ('OK')	application/javascript	date:Thu,%2013%20Aug%202020%2010:09:28%20GMT	http://barlows.co.nz/js/app/services/guest-requirement.service.js	D:/My%20Web%20Sites/barlows.co.nz/barlows.co.nz/js/app/services/guest-requirement.service.js	(from http://barlows.co.nz/)
23:45:35	6424/6424	---M--	200	added ('OK')	application/javascript	date:Thu,%2013%20Aug%202020%2010:09:28%20GMT	http://barlows.co.nz/js/app/services/home-page-slider.service.js	D:/My%20Web%20Sites/barlows.co.nz/barlows.co.nz/js/app/services/home-page-slider.service.js	(from http://barlows.co.nz/)
23:45:36	6501/6501	---M--	200	added ('OK')	application/javascript	date:Thu,%2013%20Aug%202020%2010:09:28%20GMT	http://barlows.co.nz/js/app/services/inventory-detail.service.js	D:/My%20Web%20Sites/barlows.co.nz/barlows.co.nz/js/app/services/inventory-detail.service.js	(from http://barlows.co.nz/)
23:45:36	6525/6525	---M--	200	added ('OK')	application/javascript	date:Thu,%2013%20Aug%202020%2010:09:28%20GMT	http://barlows.co.nz/js/app/services/invitation.service.js	D:/My%20Web%20Sites/barlows.co.nz/barlows.co.nz/js/app/services/invitation.service.js	(from http://barlows.co.nz/)
23:45:37	6337/6337	---M--	200	added ('OK')	application/javascript	date:Thu,%2013%20Aug%202020%2010:09:28%20GMT	http://barlows.co.nz/js/app/services/language.service.js	D:/My%20Web%20Sites/barlows.co.nz/barlows.co.nz/js/app/services/language.service.js	(from http://barlows.co.nz/)
23:45:38	6441/6441	---M--	200	added ('OK')	application/javascript	date:Thu,%2013%20Aug%202020%2010:09:28%20GMT	http://barlows.co.nz/js/app/services/member-group.service.js	D:/My%20Web%20Sites/barlows.co.nz/barlows.co.nz/js/app/services/member-group.service.js	(from http://barlows.co.nz/)
23:45:38	7019/7019	---M--	200	added ('OK')	application/javascript	date:Thu,%2013%20Aug%202020%2010:09:28%20GMT	http://barlows.co.nz/js/app/services/product-multi.service.js	D:/My%20Web%20Sites/barlows.co.nz/barlows.co.nz/js/app/services/product-multi.service.js	(from http://barlows.co.nz/)
23:45:39	8828/8828	---M--	200	added ('OK')	application/javascript	date:Thu,%2013%20Aug%202020%2010:09:28%20GMT	http://barlows.co.nz/js/app/services/product-single.service.js	D:/My%20Web%20Sites/barlows.co.nz/barlows.co.nz/js/app/services/product-single.service.js	(from http://barlows.co.nz/)
23:45:39	6452/6452	---M--	200	added ('OK')	application/javascript	date:Thu,%2013%20Aug%202020%2010:09:28%20GMT	http://barlows.co.nz/js/app/services/registration-answer.service.js	D:/My%20Web%20Sites/barlows.co.nz/barlows.co.nz/js/app/services/registration-answer.service.js	(from http://barlows.co.nz/)
23:45:40	6602/6602	---M--	200	added ('OK')	application/javascript	date:Thu,%2013%20Aug%202020%2010:09:28%20GMT	http://barlows.co.nz/js/app/services/registration-question.service.js	D:/My%20Web%20Sites/barlows.co.nz/barlows.co.nz/js/app/services/registration-question.service.js	(from http://barlows.co.nz/)
23:45:41	6552/6552	---M--	200	added ('OK')	application/javascript	date:Thu,%2013%20Aug%202020%2010:09:28%20GMT	http://barlows.co.nz/js/app/services/registration-question-option.service.js	D:/My%20Web%20Sites/barlows.co.nz/barlows.co.nz/js/app/services/registration-question-option.service.js	(from http://barlows.co.nz/)
23:45:42	6494/6494	---M--	200	added ('OK')	application/javascript	date:Thu,%2013%20Aug%202020%2010:09:28%20GMT	http://barlows.co.nz/js/app/services/shipment.service.js	D:/My%20Web%20Sites/barlows.co.nz/barlows.co.nz/js/app/services/shipment.service.js	(from http://barlows.co.nz/)
23:45:42	6441/6441	---M--	200	added ('OK')	application/javascript	date:Thu,%2013%20Aug%202020%2010:09:28%20GMT	http://barlows.co.nz/js/app/services/shipment-detail.service.js	D:/My%20Web%20Sites/barlows.co.nz/barlows.co.nz/js/app/services/shipment-detail.service.js	(from http://barlows.co.nz/)
23:45:43	6444/6444	---M--	200	added ('OK')	application/javascript	date:Thu,%2013%20Aug%202020%2010:09:28%20GMT	http://barlows.co.nz/js/app/services/shipment-fee.service.js	D:/My%20Web%20Sites/barlows.co.nz/barlows.co.nz/js/app/services/shipment-fee.service.js	(from http://barlows.co.nz/)
